n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,89498.000000,89762.174479,0.000031,90130,318466,122373,0,1533,194560,4
64,64,358501.000000,351330.468750,0.000122,353951,1279132,490639,0,6157,782336,4
128,64,1430205.000000,1415169.791667,0.000490,1648233,5126625,1964468,0,24621,3137536,4
256,64,5292690.000000,5331408.333333,0.001837,5552982,20525962,7861025,0,98409,12566528,4
512,64,19522543.000000,19530050.000000,0.006766,19580251,82144829,31452504,0,393445,50298880,4
1024,64,78325578.000000,78413100.000000,0.027313,77829078,328653252,125818849,0,1573347,201261056,4
2048,64,334820524.000000,331331766.666667,0.108730,316289982,1314763448,503295717,0,6292435,805175296,4
4096,64,1341043897.000000,1315503800.000000,0.472017,1319739431,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3298023540.000000,3346508166.666667,1.156071,3285881136,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7676269366.000000,7581645933.333333,2.596117,7612543487,21038041284,8052996358,0,100667326,12884377600,4
10240,64,13839548219.000000,13725584000.000000,4.853482,13926243792,32872070125,12582774857,0,157291428,20132003840,4
12288,64,21503605270.000000,21321148966.666664,7.504645,21086464052,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30328617049.000000,30559942866.666668,10.630990,30601772962,64429766339,24662383410,0,308288401,39459094528,4
